Total runs since 260408: 264

date   time      val_f1   val_R test_f1  test_R   abn_R   nor_R   FP   FN  ep  run
--------------------------------------------------------------------------------------------------------------
260409 171758    0.8473  0.9460  0.8548  0.8567  0.9707  0.7427  193   22   7  v9_p1cB_lr2_w10_bf16_n700_s42_F0.8548_R0.8567
260409 173517    0.8663  0.9013  0.8921  0.8927  0.9640  0.8213  134   27   7  v9_p1cB_bs32_pat10_lr2e_warm10_bf16_s42_F0.8921_R0.8927
260409 183048    0.9667  0.9627  0.9673  0.9673  0.9827  0.9520   36   13   9  v9mid_phase1cBmod_bs32_pat10_n700_s42_F0.9673_R0.9673
260409 190037    0.9960  0.9960  0.9940  0.9940  0.9947  0.9933    5    4  11  v9mid3_win_n700_s42_F0.9940_R0.9940
260409 223933    0.9987  0.9980  0.9947  0.9947  0.9893  1.0000    0    8   9  v9mid3_win_n700_s1_F0.9947_R0.9947
260409 225218    0.9973  0.9973  0.9960  0.9960  0.9960  0.9960    3    3  14  v9mid3_win_n700_s2_F0.9960_R0.9960
260409 231254    1.0000  1.0000  0.9987  0.9987  0.9973  1.0000    0    2   9  v9mid4_win_n700_s42_F0.9987_R0.9987
260409 232612    1.0000  1.0000  0.9980  0.9980  0.9960  1.0000    0    3   7  v9mid4_win_n700_s1_F0.9980_R0.9980
260409 233852    1.0000  1.0000  0.9980  0.9980  0.9973  0.9987    1    2   9  v9mid4_win_n700_s2_F0.9980_R0.9980
260409 235841    1.0000  1.0000  0.9993  0.9993  0.9987  1.0000    0    1  10  v9mid5_win_n700_s42_F0.9993_R0.9993
260410 001255    1.0000  1.0000  0.9987  0.9987  0.9973  1.0000    0    2  11  v9mid5_win_n700_s1_F0.9987_R0.9987
260410 002716    1.0000  1.0000  0.9993  0.9993  0.9987  1.0000    0    1   9  v9mid5_win_n700_s2_F0.9993_R0.9993
260410 004823    1.0000  1.0000  0.9987  0.9987  0.9973  1.0000    0    2   8  v9mid6_win_n700_s42_F0.9987_R0.9987
260410 010216    1.0000  1.0000  0.9987  0.9987  0.9973  1.0000    0    2   9  v9mid6_win_n700_s1_F0.9987_R0.9987
260410 011547    1.0000  1.0000  0.9993  0.9993  1.0000  0.9987    1    0  13  v9mid6_win_n700_s2_F0.9993_R0.9993
260410 013246    1.0000  1.0000  0.9993  0.9993  0.9987  1.0000    0    1  11  v9mid6_win_n2800_s42_F0.9993_R0.9993
260410 053705    1.0000  1.0000  0.9993  0.9993  1.0000  0.9987    1    0  10  v9mid6_ema_n700_s42_F0.9993_R0.9993
260410 055100    0.9993  0.9993  0.9993  0.9993  1.0000  0.9987    1    0  11  v9mid6_win_gc0p5_n700_s42_F0.9993_R0.9993
260410 060540    1.0000  1.0000  1.0000  1.0000  1.0000  1.0000    0    0  14  v9mid6_win_gc2p0_n700_s42_F1.0000_R1.0000
260410 062236    1.0000  1.0000  0.9993  0.9993  1.0000  0.9987    1    0   9  v9mid6_win_gc2p0_n700_s1_F0.9993_R0.9993
260410 063639    1.0000  1.0000  0.9980  0.9980  0.9973  0.9987    1    2   8  v9mid6_win_gc2p0_n700_s2_F0.9980_R0.9980
260410 065507         -       -       -       -       -       -    -    -   -  test_yaml_load
260410 071722    1.0000  1.0000  0.9987  0.9987  0.9987  0.9987    1    1  10  v9mid6_win_n700_s3_F0.9987_R0.9987
